ticket_id,external_id,subject,channel,predicted,confidence,gold_label,notes
106,455751912,Direct message with yandretti,instagram-direct-message,SUPPORT,0.82,,
108,455750996,Abwesenheitsnotiz,email,SYSTEM_NOTIFICATION,0.95,,
113,455733665,You've got money,email,SUPPORT,0.82,,
117,455723348,Direct message with caitlinsmith36627,instagram-direct-message,SUPPORT,0.82,,
118,455720961,Important Update: U.S. Tariff Policy Changes ,email,MARKETING_INBOUND,0.9,,
120,455701265,Mention in pause_montres's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
122,455697262,🎉Félicitations ! Votre page Facebook a obtenu le badge bleu (Meta Verified),email,SPAM_PHISHING,0.95,,
129,455685092,Herzlichen Glückwunsch! Ihre Seite hat von Meta ein blaues Verifizierungsabzeichen erhalten (24 Stunden).,email,SPAM_PHISHING,0.95,,
130,455684741,"Hi, I am buying a used Formex Reef 42mm and it has Model 2200.1.634X engraded on the case back. Is this the model that has interchageable bezel functionality?",chat,SUPPORT,0.82,,
134,455680261,Account/Page Status May Be Affected,email,SPAM_PHISHING,0.95,,
147,455673266,Flat-Rolled Steel Products and Custom Processing Services,email,VENDOR_PITCH,0.98,,
148,455670220,Solution for Your High-End Custom Watch Straps (Leather/FKM/Nylon) - From ShenZhen Conkly,email,SUPPORT,0.82,,
151,455662287,Intersect show interest,email,UNCLEAR,0.85,,
154,455634172,Direct message with yasinkrtsn1940,instagram-direct-message,SUPPORT,0.82,,
158,455612424,Misty Davidson,email,UNCLEAR,0.8,,
160,455608723,Re: Product question - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.9,,
162,455605878,Interested in High-Quality Do-Follow Backlinks?,email,VENDOR_PITCH,0.95,,
173,455572326,Hello ,chat,UNCLEAR,0.8,,
176,455563068,Collaboration Opportunity – Formex Essence ThirtyNine Mother-of-Sky,email,SUPPORT,0.82,,
177,455554899,Do you make titanium bracelets,chat,SUPPORT,0.95,,
178,455554642,Your application - Formex Watch,email,UNCLEAR,0.8,,
180,455551388,Frage zu einem Produkt - FORMEX Swiss Made Watches (de-DE),help-center,SUPPORT,0.95,,
186,455542844,Re: RE-design new site & ui/ux .....,email,VENDOR_PITCH,0.95,,
188,455537396,Direct message with laszlometternich,instagram-direct-message,SUPPORT,0.82,,
197,455528549,Collab: Formex x Top Gentlemen,email,VENDOR_PITCH,0.95,,
198,455527234,Notification of payment received,email,SUPPORT,0.82,,
199,455526492,Existing App,email,VENDOR_PITCH,0.9,,
205,455512003,This is how sellers go viral on TikTok 🔥,email,MARKETING_INBOUND,0.95,,
206,455508833,Re: Design.,email,UNCLEAR,0.9,,
208,455504400,Re: Why Formex?,email,SUPPORT,0.82,,
211,455498259,Product question - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.9,,
217,455463930,Order GE12859284666CH,email,SUPPORT,0.82,,
219,455459706,Re:Re: Discover YuYao Ruimei Commodity Company for FORMEX WATCH SA CHEMIN DU LONG CHAMP,email,VENDOR_PITCH,0.9,,
223,455452606,Permanent Do-Follow links,email,VENDOR_PITCH,0.95,,
224,455452469,Message from David Templier,facebook-messenger,VENDOR_PITCH,0.95,,
225,455450730,Watch Question,email,SUPPORT,0.82,,
226,455450733,Direct message with poopooviiccc,instagram-direct-message,SUPPORT,0.82,,
228,455447473,Votre demande n°00303823 au Service client MEIKO France,email,UNCLEAR,0.8,,
232,455431897,I have a Field with the spinning rotor issue. I'm in the USA and the watch si,chat,SUPPORT,0.82,,
236,455429315,"Low Inventory Warning for Automatic COSC ""Gamaret"" 41 mm",email,SYSTEM_NOTIFICATION,0.93,,
243,455414946,Verification | lnstagram #76594329,email,SPAM_PHISHING,0.95,,
245,455406605,Gemeinde-Infoseite Biel/Bienne,email,VENDOR_PITCH,0.95,,
247,455405434,Automatic reply: Nespresso: Ihre Bestellung wird derzeit vorbereitet,email,SYSTEM_NOTIFICATION,0.93,,
248,455398275,Formex Swiss Made Watches – Has recibido un distintivo azul gratuito de Meta. ¡Haz clic ahora para recibirlo!,email,SPAM_PHISHING,0.95,,
250,455392322,Direct message with richmediaproductions,instagram-direct-message,SUPPORT,0.82,,
253,455387856,"info, your sports content is a natural fit for Duolingo",email,VENDOR_PITCH,0.95,,
257,455380547,Direct message with art.jaeger,instagram-direct-message,SUPPORT,0.82,,
258,455380490,Re: Report an issue - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.82,,
259,455379701,Re:Discover Skincare Products Tailored for Your Market Needs,email,SUPPORT,0.82,,
261,455376966,"Sehr geehrte Damen und Herren, ich interessiere mich für Ihre Uhr Essence FortyOne Automatic Blau mit Edelstahl-Armband. Wie und wann muss ich die Uhr bezahlen, wenn ich Sie heute vorbestelle?",chat,SUPPORT,0.82,,
262,455375995,"Re: Re: I have a question about a watch, Reef, No, I need more help, Wait for live chat ...",chat,SUPPORT,0.82,,
264,455373060,Thought I'd Share This Website,email,VENDOR_PITCH,0.95,,
267,455367916,Product question - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.9,,
275,455330385,Request For Quote,email,UNCLEAR,0.8,,
276,455317943,Fwd: Your Formex Watch SA receipt [#1515-1720],email,SUPPORT,0.82,,
277,455317517,i have a doxa sub 200 (with 19mm lug width) and i would love to add one of your rubber straps with the deployant clasp.  do you have one that would fit?,chat,SUPPORT,0.95,,
284,455287624,Copyright Violation Detected—Please Take Action,email,SPAM_PHISHING,0.95,,
289,455280172,Out of stock notification for Automatic Manufacture Chronometer Denso Blue 40 mm,email,SYSTEM_NOTIFICATION,0.93,,
291,455278520,Impressum Report #(number),email,SYSTEM_NOTIFICATION,0.95,,
292,455277030,DFS-69791 Re: Intellectual Property Report #4117771105023514,email,UNCLEAR,0.7,,
294,455275288,Parcel,email,SUPPORT,0.82,,
295,455272664,Manufacturer of spout pouch for detergent refilled,email,VENDOR_PITCH,0.95,,
297,455266628,Manufacturer of spout pouch for detergent refilled,email,VENDOR_PITCH,0.95,,
298,455265032,Re: Stornierung GE12840606831CH,email,SUPPORT,0.95,,
302,455259678,Out of stock notification for Automatic Ice Blue 40 mm,email,SYSTEM_NOTIFICATION,0.93,,
303,455259560,"bonjour,",chat,UNCLEAR,0.8,,
304,455258852,Low Inventory Warning for Automatic Chronometer Space Ghost 39 mm,email,SYSTEM_NOTIFICATION,0.93,,
307,455252596,Mention in lordshapleigh's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
312,455240038,Re: Votre commande a été envoyée ! - Formex Swiss Made Watches par Global-e - numéro de commande GE12470762515CH,email,SUPPORT,0.82,,
316,455230680,REMOVE US FROM YOUR EMAILS,email,UNCLEAR,0.8,,
317,455228295,FUCK ALL THIS STUPID EMAILS,email,UNCLEAR,0.8,,
327,455211335,Manufacturer of spout pouch for detergent refilled,email,VENDOR_PITCH,0.95,,
329,455202505,Website Design & Apps Development,email,VENDOR_PITCH,0.95,,
333,455198185,Swiss Post: Statusaktualisierung für Ihre Geschäftsbestellung (Gebühren ausstehend),email,SUPPORT,0.82,,
337,455189010,"Hello, was wondering if you guys will ever have the ESSENCE ThirtyNine AUTOMATIC CHRONOMETER ""MALACHITE"" 39 MM",chat,SUPPORT,0.82,,
338,455188803,"Sell $5K in June, get $200 back. Here's how.",email,MARKETING_INBOUND,0.95,,
339,455188102,Out of stock notification for Automatic Chronometer Black 39 mm,email,SYSTEM_NOTIFICATION,0.93,,
343,455167395,I have a question about a watch,chat,SUPPORT,0.82,,
345,455141965,J'ai une question à propos d'une montre,chat,UNCLEAR,0.7,,
347,455136333,¿Cuál es el tamaño «adecuado» para mi muñeca?,chat,SUPPORT,0.9,,
348,455134892,"Hallo,",chat,UNCLEAR,0.8,,
349,455134182,Tengo una pregunta sobre un reloj,chat,SUPPORT,0.9,,
351,455127702,Your page was mentioned,facebook-mention,SOCIAL_NOTIFICATION,0.9,,
360,455092297,Still Reviewing Watch Box Suppliers?,email,VENDOR_PITCH,0.95,,
361,455092241,Turn your apparel brand into a brand people recognize,email,VENDOR_PITCH,0.95,,
367,455064792,Had a question,email,SUPPORT,0.9,,
368,455064247,Votre Page est désormais éligible à l'activation du badge officiel de vérification,email,SPAM_PHISHING,0.95,,
369,455062980,Re: Frage zu meiner Baby Reef aus Bestellung GE11240093542CH,email,SUPPORT,0.82,,
371,455059468,Would be a beautiful watch if it weren't for the gold plated hands and indeces.,facebook,UNCLEAR,0.8,,
374,455054754,"Re: Hi Formex, No, I need more help, Wait for live chat ...",chat,SUPPORT,0.82,,
381,455050724,Mention in themicrocollector's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
384,455050398,Case # 150604 Created: FW: This email inbox is not monitored,email,SYSTEM_NOTIFICATION,0.93,,
388,455049644,Help ! Non trovo le lancett,facebook,SUPPORT,0.9,,
389,455049556,"Re: J'ai une question à propos d'une montre, Field, Non, j'ai besoin d'aide, Attendez la discussion en d ...",chat,SUPPORT,0.82,,
391,455046503,Links,email,INTERNAL,0.95,,
393,455046201,[Webinar] Agentic AI. Your Data Analyst… In one prompt.,email,VENDOR_PITCH,0.95,,
394,455045195,TR: SAV - Service centers,email,INTERNAL,0.95,,
397,455038407,Interested in High-Quality Do-Follow Backlinks?,email,VENDOR_PITCH,0.95,,
399,455033240,Critical security alert,email,SPAM_PHISHING,0.95,,
400,455032336,Spectacular!! Sorely tempted … raphael and his team are killing it!! 🔥🔥,instagram-comment,SOCIAL_NOTIFICATION,0.9,,
403,455022199,Re: Band,email,SUPPORT,0.82,,
405,455014350,Rubber strap for Reef,email,SUPPORT,0.82,,
407,455000205,July 2026 Newsletter,email,MARKETING_INBOUND,0.95,,
409,454997817,Re: Bestellung GE12606526528CH,email,SUPPORT,0.82,,
411,454994567,how can i preorder the ice blue field watch,chat,SUPPORT,0.82,,
413,454994494,Important: Confirm your identity for Stripe Payments,email,SPAM_PHISHING,0.95,,
416,454985194,Re: Product question - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.9,,
420,454977196,Can I use this clasp with a strap that has keepers,chat,SUPPORT,0.82,,
423,454971877,"Re: Thank you, rajasekhar",email,UNCLEAR,0.8,,
426,454967951,We Are Packaging Manufacturer for Laundry Detergent Refill Pack,email,VENDOR_PITCH,0.95,,
433,454949155,We Are Packaging Manufacturer for Laundry Detergent Refill Pack,email,VENDOR_PITCH,0.95,,
437,454928158,Product question - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.9,,
438,454928006,"Re:FCL & LCL to All AFRICA Ports,hello@formexwatch.com",email,SUPPORT,0.82,,
439,454922093,Mention in kevins_watches_'s story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
441,454909567,Feedback - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.82,,
444,454906595,"Re: Collaboration Proposal — Nima, Filmmaker & Director",email,SUPPORT,0.82,,
447,454896028,Mention in watchthetech_pod's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
455,454868421,Re: Your order has been shipped! - Formex Swiss Made Watches by Global-e - order number GE12612584178CH,email,SUPPORT,0.82,,
456,454867147,Re: GE12048618903CH,email,SUPPORT,0.82,,
461,454851456,Greetings from Joy!,email,UNCLEAR,0.8,,
464,454840346,Partnership Opportunity – Guest Posts & Link Insertions,email,VENDOR_PITCH,0.95,,
467,454835712,Mention in justonemorewatch83's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
471,454818430,Re: Strap Resize,email,SUPPORT,0.82,,
474,454813443,Automatische Antwort,email,SYSTEM_NOTIFICATION,0.93,,
477,454812597,FW: Viator: Tell us how we're doing,email,SYSTEM_NOTIFICATION,0.9,,
482,454793682,Re: Product question - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.9,,
483,454788401,Mention in kanalozegarkach's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
485,454786462,Account Verification Required,email,SPAM_PHISHING,0.95,,
486,454786435,Account Verification Required,email,SPAM_PHISHING,0.95,,
488,454780147,Any aria watches available for purchase?,chat,SUPPORT,0.82,,
491,454770794,Master Multi-Currency Budgeting in Minutes,email,MARKETING_INBOUND,0.95,,
492,454770789,Master Multi-Currency Budgeting in Minutes,email,MARKETING_INBOUND,0.95,,
495,454749340,"newsbreak.com Millions of USA Traffic, Dofollw site for guest post",email,VENDOR_PITCH,0.95,,
496,454739897,Direct message with swiss.minute.movies,instagram-direct-message,SUPPORT,0.82,,
503,454713863,Feel free to reach out if timing is better later   2026/07/17,email,VENDOR_PITCH,0.98,,
510,454697077,I’m just trying I,email,UNCLEAR,0.8,,
514,454694413,Kreditangebot,email,SPAM_PHISHING,0.95,,
515,454693676,J'ai une question à propos d'une montre,chat,UNCLEAR,0.6,,
516,454692880,Re: To Formex Watch / 2 Jewelry-Style Green Stone Ladies’ Watches,email,UNCLEAR,0.6,,
517,454689815,"Hi, I made the order for Black Pearl two days ago. Can you already tell if I will receive my delivery in August?",chat,SUPPORT,0.82,,
518,454684481,Re: FORMEX - Order 17074 (GE11235783056CH) - Two shipments,email,SUPPORT,0.82,,
520,454684465,MAILING TOP KANDIDATEN/INNEN OK JOB BIEL 2026 -- MAILING TOP CANDIDAT(E)S OK JOB BIENNE 2026,email,UNCLEAR,0.8,,
528,454660972,Out of stock notification for Automatic Ice Blue 40 mm,email,SYSTEM_NOTIFICATION,0.93,,
531,454651855,RE: End link,email,SUPPORT,0.82,,
538,454638497,[AUTOMATED]Your Vector Labs’ technical inquiry confirmation,email,SYSTEM_NOTIFICATION,0.9,,
539,454638434,Welcome Back,email,MARKETING_INBOUND,0.95,,
543,454617130,Authorized dealer inquiry,email,VENDOR_PITCH,0.95,,
544,454610649,Price list,email,VENDOR_PITCH,0.95,,
547,454604750,Re: Report an issue - FORMEX Swiss Made Watches (en-US),email,SUPPORT,0.82,,
548,454597702,Direct message with itsshipman,instagram-direct-message,SUPPORT,0.82,,
551,454567221,Looking for a More Reliable Watch Box Supplier?,email,SUPPORT,0.82,,
552,454566157,Business inquiry - FORMEX Swiss Made Watches (en-US),help-center,VENDOR_PITCH,0.95,,
553,454559176,"Re: Workday, SAP, Salesforce & AWS Expertise for Your Team",email,VENDOR_PITCH,0.95,,
554,454546916,"Out of stock notification for Automatic Chronometer ""Mother-of-Sky"" 39 mm",email,SYSTEM_NOTIFICATION,0.93,,
555,454546910,Delivery report,email,SUPPORT,0.82,,
556,454540591,FORMEX - Order 19932 - Shipment tracking details,email,SUPPORT,0.82,,
557,454540061,Mention in orange_uhrwerk's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
559,454538939,Mention in complecto_'s story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
564,454527979,UL and CE Certified Transformer Supply Chain Partner,email,VENDOR_PITCH,0.95,,
566,454527037,Schneider Electric Case # 125296375: Case # 150475 Created: Thank you for contacting us -,email,SYSTEM_NOTIFICATION,0.95,,
571,454525485,Were on it: Your Customer Care request 01380758 has been created.,email,SYSTEM_NOTIFICATION,0.95,,
575,454523653,Luxury Packaging for Swiss Watch & Jewellery Brands,email,VENDOR_PITCH,0.98,,
581,454520053,Beta Platform HELIX has invited you to test Meta Ads Manager Monitor.,email,SPAM_PHISHING,0.9,,
582,454519935,AW: FORMEX - Reparaturkostenvoranschlag - Field & Leggera,email,SUPPORT,0.82,,
584,454519042,Re: Order status - FORMEX Swiss Made Watches (en-US),email,SUPPORT,0.82,,
590,454509517,"Hi, I am not seeing my order on my account page on my Formex account please help ",chat,SUPPORT,0.82,,
591,454505594,This is how sellers go viral on TikTok 🔥,email,MARKETING_INBOUND,0.95,,
592,454504717,Re,email,UNCLEAR,0.6,,
594,454495387,Question of repeat order,email,SUPPORT,0.82,,
597,454484644,Direct message with youreterrific1,instagram-direct-message,SUPPORT,0.82,,
599,454471301,Do you have a print catalog? ,chat,SUPPORT,0.9,,
600,454470412,Cancel preorder?,email,SUPPORT,0.82,,
601,454457635,Re: recent Warranty service and other - FORMEX Swiss Made Watches (en-US),email,SUPPORT,0.82,,
602,454455009,I want to cancel my order,chat,SUPPORT,0.82,,
607,454402058,Urgent: Phone Line Outage,email,UNCLEAR,0.8,,
613,454392997,Re: Shipment ID: 6003925012,email,SUPPORT,0.95,,
618,454388448,Re: Broken mesh link / replacement available?,email,SUPPORT,0.82,,
619,454387350,Hi. Do you have the green mamba Leggera 41 in stock?,chat,SUPPORT,0.95,,
623,454382364,Out of stock notification for Automatic Coho Salmon 40 mm,email,SYSTEM_NOTIFICATION,0.93,,
637,454369265,"Out of stock notification for Automatic COSC 300M ""Blue Coral - Edition Spéciale"" 39.5 mm for Ocarat",email,SYSTEM_NOTIFICATION,0.93,,
642,454360841,Re: Let's Website re-designing and re-developing...,email,VENDOR_PITCH,0.95,,
645,454356101,WG: Problem melden - FORMEX Swiss Made Watches (de-DE),email,SUPPORT,0.9,,
651,454353541,Placa De Acero Inoxidable Cortada A La Medida,email,SUPPORT,0.82,,
656,454351984,Custom caps & beanies for your next collection,email,VENDOR_PITCH,0.95,,
659,454349357,Out of stock notification for Automatic Chronometer Space Glacier 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
662,454347749,Problem With My Recent Order,email,SUPPORT,0.82,,
663,454346373,Re: Order confirmed - Formex Swiss Made Watches by Global-e - order number GE12384807808CH,email,SUPPORT,0.82,,
665,454345641,Proposal for Collaboration,email,VENDOR_PITCH,0.95,,
666,454345310,Adresse introuvable !,email,UNCLEAR,0.7,,
670,454342647,Message from Maik Fredrichsdorf,facebook-messenger,UNCLEAR,0.7,,
671,454341051,Quality publishing opportunities,email,VENDOR_PITCH,0.95,,
675,454340411,[Request received],email,SYSTEM_NOTIFICATION,0.95,,
676,454335011,Report an issue - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.82,,
677,454330634,"I love your Aria watch, any plans to make a lower priced more budget friendly version ?",chat,SUPPORT,0.82,,
678,454329596,"Fachkräfte für Industrie & Logistik, sofort einsatzbereit",email,VENDOR_PITCH,0.95,,
680,454318378,Mention in wristrebels's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
684,454301128,🚀 Unlock Your Next Sales Channel. See How Crocs Did It.,email,MARKETING_INBOUND,0.95,,
689,454264079,Re: issue with Field Auto,email,SUPPORT,0.82,,
691,454255891,"Do you have any plans to make the Essence FortyOne in the green dial? Absolutely love the green dial on the 39, but 39mm is a bit too small for my wrist and 43 is bigger than I'd like. ",chat,SUPPORT,0.82,,
692,454253047,ATMOZ WATCH GROUP: Your Best Suitable Watch Manufacturer,email,VENDOR_PITCH,0.95,,
696,454249812,Out of stock notification for REEF 39.5MM BLACK CERAMIC BEZEL,email,SYSTEM_NOTIFICATION,0.93,,
697,454248293,You've got money,email,SUPPORT,0.82,,
703,454226048,Will you be coming out with more watches in the Essence line with the upgraded movement of the black pearl?,chat,SUPPORT,0.82,,
706,454221315,Out of stock notification for Automatic Chronometer Space Glacier 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
709,454218475,Gleicher Kunde - verschieden Bestellungen - Ein Paket - 37507,email,UNCLEAR,0.7,,
711,454212227,You've got money,email,SUPPORT,0.82,,
715,454202444,Lieferfrist,email,SUPPORT,0.82,,
716,454201870,Mention in playmo_one's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
719,454194835,Re: CO:,email,VENDOR_PITCH,0.95,,
725,454181877,Re:,email,UNCLEAR,0.6,,
727,454179680,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
728,454178394,"Low Inventory Warning for Automatic COSC ""Dark Matter"" 41 mm",email,SYSTEM_NOTIFICATION,0.93,,
729,454178384,"Out of stock notification for Automatic COSC ""Dark Matter"" 41 mm",email,SYSTEM_NOTIFICATION,0.93,,
731,454175812,Message from Sing Ho,facebook-messenger,UNCLEAR,0.7,,
736,454164079,I have a question about a watch,chat,SUPPORT,0.82,,
739,454158607,RE: Return for Order # GE12817588052CH,email,SUPPORT,0.82,,
741,454155932,Félicitations ! La page Formex Swiss Made Watches remplit les conditions requises pour recevoir le badge Meta Verified.,email,SPAM_PHISHING,0.95,,
742,454154655,Pembaruan Permintaan Penghapusan,email,SPAM_PHISHING,0.95,,
743,454152935,Permintaan Penghapusan Dalam Tahap Akhir,email,SPAM_PHISHING,0.95,,
745,454148055,Kreditangebot,email,SPAM_PHISHING,0.95,,
748,454136131,I keep receiving an error message that I cannot pre order the black pearl 39 essence to the United States. Is that true?,chat,SUPPORT,0.82,,
752,454124535,Felicitări! Pagina Formex Swiss Made Watches îndeplinește cerințele pentru a primi insigna Meta Verified.,email,SPAM_PHISHING,0.95,,
757,454117703,Re: Essence 41 dial options,email,SUPPORT,0.82,,
763,454108878,automatische Eingangsbestätigung - bitte nicht antworten,email,SYSTEM_NOTIFICATION,0.93,,
766,454108710,[AUTOMATED]Your Vector Labs’ technical inquiry confirmation,email,SUPPORT,0.82,,
770,454093910,Direct message with maritalafrancaise,instagram-direct-message,SUPPORT,0.82,,
772,454083461,Mention in sunflowerman.watch's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
774,454079691,I'm not able to order the essence black pearl.  Says it cannot ship to the US ,chat,SUPPORT,0.82,,
776,454064189,Direct message with ald2ron,instagram-direct-message,SUPPORT,0.82,,
779,454061955,"Re: Thank you, dave",email,SUPPORT,0.82,,
782,454048962,I have a question about a watch,chat,SUPPORT,0.82,,
783,454047451,Re: Formex Service & Repair Service,email,SUPPORT,0.82,,
785,454043497,Re: Order GE12727841324CH,email,SUPPORT,0.82,,
791,454028327,Re: Ref my order GE12278057562CH issue with DHL for delivery,email,SUPPORT,0.82,,
793,454027914,Receipt for Your Payment to Conrad Electronic AG,email,SUPPORT,0.82,,
794,454026481,Scalable sourcing for your growing Watch Box needs,email,VENDOR_PITCH,0.95,,
795,454026275,Product question - FORMEX Swiss Made Watches (en-US),email,SUPPORT,0.82,,
797,454023474,CAT EYE NAILS,email,SUPPORT,0.82,,
804,454016404,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
811,454013720,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
814,454013058,Pemberitahuan Resmi Mengenai Akun,email,SPAM_PHISHING,0.95,,
819,454012629,Penghapus Akun Sedang Ditinjau,email,SPAM_PHISHING,0.95,,
821,454012496,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
822,454012279,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
824,454011946,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
825,454011798,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
835,454008119,Out of stock notification for Automatic Chronometer Space Ghost 41 mm,email,SYSTEM_NOTIFICATION,0.93,,
836,454007719,Commande non reçue,email,SUPPORT,0.95,,
839,454003346,Video + Formex Watch =???,email,VENDOR_PITCH,0.95,,
840,454003158,long shot but figured i'd ask,email,UNCLEAR,0.8,,
842,453998177,Mention in loziopaulie's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
843,453998150,"Hi. What are the expected delivery timelines for the Leggera 41 with forged carbon dial? It says “pre order” and “ Shipping is expected to begin end of June, 2026”",chat,SUPPORT,0.82,,
845,453991347,B,chat,UNCLEAR,0.9,,
850,453981606,Mention in kai.prisun's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
853,453966989,Hi,email,VENDOR_PITCH,0.95,,
868,453935148,BMW Group UK Customer Auto Response - Do not reply,email,UNCLEAR,0.8,,
870,453932417,Mention in watchdna's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
871,453929766,Content Compliance Notification,email,SPAM_PHISHING,0.95,,
878,453918044,Direct message with sixtopujol,instagram-direct-message,SUPPORT,0.82,,
879,453916740,Tengo una pregunta sobre un reloj,chat,UNCLEAR,0.6,,
881,453913382,¡Enhorabuena! La página Formex Swiss Made Watches cumple los requisitos para obtener la insignia Meta Verified.,email,SPAM_PHISHING,0.95,,
884,453892948,Re: Chicago show - FORMEX Swiss Made Watches (en-US),help-center,SUPPORT,0.82,,
885,453892755,Mention in watchwasay's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
886,453888995,Mention in kmcgivney's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
887,453880077,Mention in andy_airborne's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
888,453878541,Hello,email,SPAM_PHISHING,0.95,,
889,453869453,mikesavicky replied to your story,instagram-direct-message,UNCLEAR,0.7,,
892,453854591,youtube video on my Formex Essence 39,email,SUPPORT,0.82,,
